"com_code","com_annee","com_type","popleg_annee","popleg_mun","popleg_a_part","popleg_tot","popleg_date_maj"
"01262","2022","COM","2020","6864","80","6944","2023-01-02"
"01263","2022","COM","2020","3761","88","3849","2023-01-02"
"01264","2022","COM","2020","1017","19","1036","2023-01-02"
"01265","2022","COM","2020","3499","81","3580","2023-01-02"
"01266","2022","COM","2020","2576","43","2619","2023-01-02"
"01267","2022","COM","2020","1008","27","1035","2023-01-02"
"01268","2022","COM","2020","244","3","247","2023-01-02"
"01269","2022","COM","2020","3453","134","3587","2023-01-02"
"01272","2022","COM","2020","1490","21","1511","2023-01-02"
"01273","2022","COM","2020","1799","25","1824","2023-01-02"
"01274","2022","COM","2020","632","13","645","2023-01-02"
"01275","2022","COM","2020","2596","52","2648","2023-01-02"
"01276","2022","COM","2020","1627","25","1652","2023-01-02"
"01277","2022","COM","2020","115","1","116","2023-01-02"
"01279","2022","COM","2020","77","5","82","2023-01-02"
"01280","2022","COM","2020","136","0","136","2023-01-02"
"01281","2022","COM","2020","4591","175","4766","2023-01-02"
"01282","2022","COM","2020","258","7","265","2023-01-02"
"01283","2022","COM","2020","22271","453","22724","2023-01-02"
"01284","2022","COM","2020","700","13","713","2023-01-02"
"01285","2022","COM","2020","1334","32","1366","2023-01-02"
"01286","2022","COM","2020","959","37","996","2023-01-02"
"01288","2022","COM","2020","2777","59","2836","2023-01-02"
"01289","2022","COM","2020","6460","275","6735","2023-01-02"
"01290","2022","COM","2020","1309","31","1340","2023-01-02"
"01291","2022","COM","2020","844","8","852","2023-01-02"
"01293","2022","COM","2020","145","3","148","2023-01-02"
"01294","2022","COM","2020","897","18","915","2023-01-02"
"01295","2022","COM","2020","676","10","686","2023-01-02"
"01296","2022","COM","2020","413","11","424","2023-01-02"
"01297","2022","COM","2020","890","16","906","2023-01-02"
"01298","2022","COM","2020","157","2","159","2023-01-02"
"01299","2022","COM","2020","589","10","599","2023-01-02"
"01301","2022","COM","2020","2606","61","2667","2023-01-02"
"01302","2022","COM","2020","165","4","169","2023-01-02"
"01303","2022","COM","2020","1696","39","1735","2023-01-02"
"01304","2022","COM","2020","2904","53","2957","2023-01-02"
"01305","2022","COM","2020","2195","43","2238","2023-01-02"
"01306","2022","COM","2020","1637","64","1701","2023-01-02"
"01307","2022","COM","2020","840","21","861","2023-01-02"
"01308","2022","COM","2020","803","14","817","2023-01-02"
"01309","2022","COM","2020","83","0","83","2023-01-02"
"01310","2022","COM","2020","249","4","253","2023-01-02"
"01311","2022","COM","2020","44","0","44","2023-01-02"
"01313","2022","COM","2020","8948","245","9193","2023-01-02"
"01314","2022","COM","2020","1725","31","1756","2023-01-02"
"01317","2022","COM","2020","331","6","337","2023-01-02"
"01318","2022","COM","2020","735","18","753","2023-01-02"
"01319","2022","COM","2020","467","9","476","2023-01-02"
"01320","2022","COM","2020","3833","92","3925","2023-01-02"
"01321","2022","COM","2020","892","29","921","2023-01-02"
"01322","2022","COM","2020","5050","142","5192","2023-01-02"
"01323","2022","COM","2020","1018","17","1035","2023-01-02"
"01325","2022","COM","2020","1065","19","1084","2023-01-02"
"01328","2022","COM","2020","606","4","610","2023-01-02"
"01329","2022","COM","2020","157","2","159","2023-01-02"
"01330","2022","COM","2020","180","7","187","2023-01-02"
"01331","2022","COM","2020","192","1","193","2023-01-02"
"01332","2022","COM","2020","792","23","815","2023-01-02"
"01333","2022","COM","2020","3366","59","3425","2023-01-02"
"01334","2022","COM","2020","680","9","689","2023-01-02"
"01335","2022","COM","2020","410","6","416","2023-01-02"
"01336","2022","COM","2020","1187","22","1209","2023-01-02"
"01337","2022","COM","2020","1336","27","1363","2023-01-02"
"01338","2022","COM","2020","1245","34","1279","2023-01-02"
"01339","2022","COM","2020","1484","44","1528","2023-01-02"
"01342","2022","COM","2020","546","10","556","2023-01-02"
"01343","2022","COM","2020","1822","41","1863","2023-01-02"
"01344","2022","COM","2020","5971","166","6137","2023-01-02"
"01345","2022","COM","2020","2245","33","2278","2023-01-02"
"01346","2022","COM","2020","852","19","871","2023-01-02"
"01347","2022","COM","2020","2072","64","2136","2023-01-02"
"01348","2022","COM","2020","3003","66","3069","2023-01-02"
"01349","2022","COM","2020","523","6","529","2023-01-02"
"01350","2022","COM","2020","2538","37","2575","2023-01-02"
"01351","2022","COM","2020","1602","27","1629","2023-01-02"
"01352","2022","COM","2020","586","5","591","2023-01-02"
"01353","2022","COM","2020","1723","29","1752","2023-01-02"
"01354","2022","COM","2020","14274","189","14463","2023-01-02"
"01355","2022","COM","2020","484","7","491","2023-01-02"
"01356","2022","COM","2020","203","5","208","2023-01-02"
"01357","2022","COM","2020","502","7","509","2023-01-02"
"01358","2022","COM","2020","426","8","434","2023-01-02"
"01359","2022","COM","2020","251","2","253","2023-01-02"
"01360","2022","COM","2020","1934","48","1982","2023-01-02"
"01361","2022","COM","2020","1600","46","1646","2023-01-02"
"01362","2022","COM","2020","809","12","821","2023-01-02"
"01363","2022","COM","2020","1786","73","1859","2023-01-02"
"01364","2022","COM","2020","767","8","775","2023-01-02"
"01365","2022","COM","2020","1165","28","1193","2023-01-02"
"01366","2022","COM","2020","1088","17","1105","2023-01-02"
"01367","2022","COM","2020","726","7","733","2023-01-02"
"01368","2022","COM","2020","842","15","857","2023-01-02"
"01369","2022","COM","2020","955","25","980","2023-01-02"
"01370","2022","COM","2020","1674","28","1702","2023-01-02"
"01371","2022","COM","2020","1221","27","1248","2023-01-02"
"01372","2022","COM","2020","441","13","454","2023-01-02"
"01373","2022","COM","2020","1009","29","1038","2023-01-02"
"01374","2022","COM","2020","1877","45","1922","2023-01-02"
"01375","2022","COM","2020","788","19","807","2023-01-02"
"01376","2022","COM","2020","4066","41","4107","2023-01-02"
"01378","2022","COM","2020","2699","56","2755","2023-01-02"
"01379","2022","COM","2020","762","12","774","2023-01-02"
"01380","2022","COM","2020","612","13","625","2023-01-02"
"01381","2022","COM","2020","920","18","938","2023-01-02"
"01382","2022","COM","2020","305","4","309","2023-01-02"
"01383","2022","COM","2020","1583","21","1604","2023-01-02"
"01384","2022","COM","2020","2172","29","2201","2023-01-02"
"01385","2022","COM","2020","964","19","983","2023-01-02"
"01386","2022","COM","2020","1117","60","1177","2023-01-02"
"01387","2022","COM","2020","256","3","259","2023-01-02"
"01388","2022","COM","2020","1116","8","1124","2023-01-02"
"01389","2022","COM","2020","1823","43","1866","2023-01-02"
"01390","2022","COM","2020","1247","21","1268","2023-01-02"
"01391","2022","COM","2020","273","8","281","2023-01-02"
"01392","2022","COM","2020","654","28","682","2023-01-02"
"01393","2022","COM","2020","555","13","568","2023-01-02"
"01396","2022","COM","2020","987","14","1001","2023-01-02"
"01397","2022","COM","2020","988","19","1007","2023-01-02"
"01398","2022","COM","2020","1438","19","1457","2023-01-02"
"01399","2022","COM","2020","2145","53","2198","2023-01-02"
"01400","2022","COM","2020","139","3","142","2023-01-02"
"01401","2022","COM","2020","2209","73","2282","2023-01-02"
"01402","2022","COM","2020","650","20","670","2023-01-02"
"01403","2022","COM","2020","1310","40","1350","2023-01-02"
"01404","2022","COM","2020","134","2","136","2023-01-02"
"01405","2022","COM","2020","1273","28","1301","2023-01-02"
"01406","2022","COM","2020","173","1","174","2023-01-02"
"01407","2022","COM","2020","1006","17","1023","2023-01-02"
"01408","2022","COM","2020","659","11","670","2023-01-02"
"01410","2022","COM","2020","299","7","306","2023-01-02"
"01411","2022","COM","2020","271","8","279","2023-01-02"
"01412","2022","COM","2020","611","12","623","2023-01-02"
"01415","2022","COM","2020","524","7","531","2023-01-02"
"01416","2022","COM","2020","1012","12","1024","2023-01-02"
