localisation;siege_lib;type_d_etablissement;implantation_lib;coordonnees;bcnag_n_nature_uai_libelle_editi;services;date_ouverture;effectif;bcnag_n_type_uai_libelle_edition;uai;ur;ur_lib;etablissement_uai;sigle;identifiant_eter;identifiant_wikidata;element_wikidata;identifiant_grid;element_grid;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;code_pays;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;type_uai;nature_uai
Île-de-France>Versailles>Hauts-de-Seine>Paris>Gennevilliers;Université de Cergy-Pontoise;Université;ANTENNE DE GENEVILLIERS DE L'ÉCOLE SUPÉRIEURE DU PROFESSORAT ET DE L'ÉDUCATION DE L'ACADÉMIE DE VERSAILLES;48.9355607922,2.30287484837;Antenne d'école supérieure du professorat et de l'éducation;;2009-11-16;538;Formation initiale continue des professeurs;0922670C;0783634B;ESPE ACADEMIE VERSAILLES;0951793H;;FR0275;Q2496006;https://www.wikidata.org/entity/Q2496006;grid.7901.f;https://www.grid.ac/institutes/grid.7901.f;92036;Gennevilliers;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;100;ZONE D'ACTIVITÉ  DES BARABANNIER;AVENUE MARCEL PAUL;;;92230;GENNEVILLIERS;;FORP;569
Île-de-France>Versailles>Val-d'Oise>Paris>Pontoise;Université de Cergy-Pontoise;Université;ANTENNE DE PONTOISE DE L'UFR ECONOMIE ET GESTION, UNIVERSITÉ DE CERGY-PONTOISE;49.0434598289,2.08540334899;Antenne délocalisée d'une composante d'université;;2013-01-09;646;Universités et INP hors écoles d'ingenieurs;0952181E;0951958M;UFR ECONOMIE ET GESTION;0951793H;;FR0275;Q2496006;https://www.wikidata.org/entity/Q2496006;grid.7901.f;https://www.grid.ac/institutes/grid.7901.f;95500;Pontoise;UU00851;Paris;D095;Val-d'Oise;A25;Versailles;R11;Île-de-France;100;;2 AVENUE ADOLPHE CHAUVIN;;;95000;PONTOISE;;UNIV;530
Île-de-France>Versailles>Val-d'Oise>Paris>Cergy;Université de Cergy-Pontoise;Université;ANTENNE DE CERGY DE L'UFR LETTRES ET SCIENCES HUMAINES, UNIVERSITÉ DE CERGY PONTOISE;49.0383034742,2.07492971012;Antenne délocalisée d'une composante d'université;;2014-01-09;1520;Universités et INP hors écoles d'ingenieurs;0952203D;0951960P;UFR LETTRES ET SC HUMAINES;0951793H;;FR0275;Q2496006;https://www.wikidata.org/entity/Q2496006;grid.7901.f;https://www.grid.ac/institutes/grid.7901.f;95127;Cergy;UU00851;Paris;D095;Val-d'Oise;A25;Versailles;R11;Île-de-France;100;;33  BOULEVARD DU PORT;;;95000;CERGY;;UNIV;530
Corse>Corse>Haute-Corse>Corte>Corte;Université de Corse Pasquale Paoli;Université;UNITÉ DE FORMATION DE DE RECHERCHE SCIENCES TECHNIQUES UNIVERSITÉ DE CORSE;42.3056433352,9.15066554416;Unité de formation et de recherche (hors santé);;1982-10-06;699;Universités et INP hors écoles d'ingenieurs;7200104A;7200664J;UNIVERSITE CORSE;7200664J;;FR0281;Q335841;https://www.wikidata.org/entity/Q335841;grid.412058.a;https://www.grid.ac/institutes/grid.412058.a;2B096;Corte;UU2B203;Corte;D02B;Haute-Corse;A27;Corse;R94;Corse;100;CAMPUS GRIMALDI;ESPACE CAMPUS GRIMALDI;;BP52;20250;CORTE;;UNIV;539
Guadeloupe>Guadeloupe>Guadeloupe>Pointe-à-Pitre - Les Abymes>Pointe-à-Pitre;Université des Antilles;Université;IREM;16.2241766006,-61.5289765865;Institut de recherche sur l'enseignement des mathématiques;;1991-06-25;;Universités et INP hors écoles d'ingenieurs;9711053T;9710585J;UNIVERSITE DES ANTILLES;9710585J;;FR0282;Q829169;https://www.wikidata.org/entity/Q829169;;;97120;Pointe-à-Pitre;UU9A701;Pointe-à-Pitre - Les Abymes;D971;Guadeloupe;A32;Guadeloupe;R01;Guadeloupe;100;;;CAMPUS DE FOUILLOLE;;97110;POINTE A PITRE;;UNIV;557
Guyane>Guyane>Guyane>Cayenne>Cayenne;Université de Guyane;Université;DIRECTION DE L'ORIENTATION DES STAGES ET DE L'INSERTION PROFESSIONNELLE UNIVERSITÉ DE LA GUYANE;4.94022012759,-52.3262224658;Service commun d'information et d'orientation;Information et orientation;1994-01-01;;Services communs des universités;9730276M;9730429D;UNIVERSITE DE LA GUYANE;9730429D;;FR0327;Q16682067;https://www.wikidata.org/entity/Q16682067;grid.460797.b;https://www.grid.ac/institutes/grid.460797.b;97302;Cayenne;UU9C601;Cayenne;D973;Guyane;A33;Guyane;R03;Guyane;100;;ROUTE DE BADUEL;CAMPUS DE TROUBIRAN;BP792;97337;CAYENNE CEDEX;;SERV;525
La Réunion>La Réunion>La Réunion>Saint-Denis>Saint-Denis;Université de La Réunion;Université;DEP DEV. AGRO INT LA REUNION;-20.901823748,55.4841882831;Ecole d'ingénieurs;;2006-01-09;;Ecoles d'ingénieurs;9741394X;9741507V;ECOLE SUP ING OCEAN INDIEN;9740478B;;FR0283;Q834819;https://www.wikidata.org/entity/Q834819;grid.11642.30;https://www.grid.ac/institutes/grid.11642.30;97411;Saint-Denis;UU9D603;Saint-Denis;D974;La Réunion;A28;La Réunion;R04;La Réunion;100;;15 AVENUE RENE CASSIN;;BP7151;97400;ST DENIS;;ING;553
Île-de-France>Paris>Paris>Paris>Paris 16e;Université Paris-Dauphine;Grand établissement;INSTITUT PRATIQUE DE JOURNALISME UNIVERSITÉ PARIS 3;48.8710687402,2.27469249327;Composante d'université avec formation diplômante;;2011-01-07;103;Universités et INP hors écoles d'ingenieurs;0755614V;0750736T;UNIVERSITE PARIS-DAUPHINE;0750736T;Paris-Dauphine;FR0173;Q1546437;https://www.wikidata.org/entity/Q1546437;grid.11024.36;https://www.grid.ac/institutes/grid.11024.36;75116;Paris 16e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;PLACE DU MARECHAL DE TASSIGNY;;;75016;PARIS;;UNIV;540
Île-de-France>Paris>Paris>Paris>Paris  7e;Université Sorbonne Nouvelle - Paris 3;Université;SERVICE COMMUN DE LA DOCUMENTATION UNIVERSITAIRE -BIBLIOTHÈQUE DES LANGUES ORIENTALES;48.8578474935,2.33219084215;Service commun de documentation;Documentation;1978-11-16;;Services communs des universités;0752711P;0751719L;UNIVERSITE PARIS 3;0751719L;;FR0176;Q571293;https://www.wikidata.org/entity/Q571293;grid.17689.31;https://www.grid.ac/institutes/grid.17689.31;75107;Paris  7e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;4  RUE DE LILLE;;;75007;PARIS;;SERV;526
Île-de-France>Paris>Paris>Paris>Paris  5e;Université Sorbonne Nouvelle - Paris 3;Université;SERVICE COMMUN DE LA DOCUMENTATION UNIVERSITAIRE - UNIVERSITÉ PARIS 3;48.8401483014,2.354175419;Service commun de documentation;Documentation;1978-11-16;;Services communs des universités;0752734P;0751719L;UNIVERSITE PARIS 3;0751719L;;FR0176;Q571293;https://www.wikidata.org/entity/Q571293;grid.17689.31;https://www.grid.ac/institutes/grid.17689.31;75105;Paris  5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;13  RUE SANTEUIL;;;75231;PARIS CEDEX 05;;SERV;526
Île-de-France>Paris>Paris>Paris>Paris  6e;Université Sorbonne Nouvelle - Paris 3;Université;UNITÉ DE FORMATION ET DE RECHERCHE - MONDE ANGLOPHONE UNIVERSITÉ PARIS 3;48.8505871346,2.34195414669;Unité de formation et de recherche (hors santé);;1971-06-06;2218;Universités et INP hors écoles d'ingenieurs;0753370F;0751719L;UNIVERSITE PARIS 3;0751719L;;FR0176;Q571293;https://www.wikidata.org/entity/Q571293;grid.17689.31;https://www.grid.ac/institutes/grid.17689.31;75106;Paris  6e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;5  RUE DE L ECOLE DE MEDECINE;;;75006;PARIS;;UNIV;539
Île-de-France>Paris>Paris>Paris>Paris  6e;Université Paris Descartes;Université;UNITÉ DE FORMATION ET DE RECHERCHE FACULTÉ DE MÉDECINE - UNIVERSITÉ PARIS 5;48.8507726638,2.34118455848;Unité de formation et de recherche en santé;;2004-06-15;9097;Universités et INP hors écoles d'ingenieurs;0755113A;0751721N;UNIVERSITE PARIS 5;0751721N;;FR0178;Q1155944;https://www.wikidata.org/entity/Q1155944;grid.10992.33;https://www.grid.ac/institutes/grid.10992.33;75106;Paris  6e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;15  RUE DE L ECOLE DE MEDECINE;;;75006;PARIS;;UNIV;537
Île-de-France>Versailles>Hauts-de-Seine>Paris>Montrouge;Université Paris Descartes;Université;SECTION BIBLIOTHÈQUE DE L'UNIVERSITÉ DE FORMATION ET DE RECHERCHE  D'ODONTOLOGIE;48.8214511689,2.31426025413;Antenne délocalisée de service commun d'université;Documentation;1978-11-16;;Services communs des universités;0921871J;0752736S;SERV COM DOC UNIV;0751721N;;FR0178;Q1155944;https://www.wikidata.org/entity/Q1155944;grid.10992.33;https://www.grid.ac/institutes/grid.10992.33;92049;Montrouge;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;100;;1 RUE MAURICE ARNOUX;;;92120;MONTROUGE;;SERV;536
Île-de-France>Paris>Paris>Paris>Paris 13e;Université Paris Diderot;Université;SERVICE UNIVERSITAIRE DE MÉDECINE PRÉVENTIVE ET DE PROMOTION DE LA SANTÉ - UNIVERSITÉ PARIS DIDEROT;48.8816861897,2.3584737677;Service commun de médecine préventive;Médecine préventive;2000-01-09;;Services communs des universités;0755005H;0751723R;UNIVERSITE PARIS DIDEROT;0751723R;;FR0180;Q1235608;https://www.wikidata.org/entity/Q1235608;grid.7452.4;https://www.grid.ac/institutes/grid.7452.4;75113;Paris 13e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;8  PLACE AURELIE NEMOURS;HOP VIDAL 200-202 R FG S;;75013;PARIS;;SERV;527
Île-de-France>Paris>Paris>Paris>Paris 13e;École nationale supérieure d'arts et métiers;Grand établissement;ECOLE NATIONALE SUPÉRIEURE D'ARTS ET MÉTIERS  (DG);48.8336629183,2.35750629061;Ecole d'ingénieurs;;1984-01-09;;Ecoles d'ingénieurs;0753237L;0753237L;ENS ARTS ET METIERS PARIS;0753237L;ENSAM;FR0185;Q2570220;https://www.wikidata.org/entity/Q2570220;grid.434207.6;https://www.grid.ac/institutes/grid.434207.6;75113;Paris 13e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;151  BOULEVARD DE L'HOPITAL;;;75013;PARIS;;ING;553
Auvergne - Rhône-Alpes>Lyon>Ain>Annemasse>Saint-Genis-Pouilly;Conservatoire national des arts et métiers;Grand établissement;CENTRE REGIONAL ASSOCIE AU CNAM, ANNEXE DE LYON;46.2557088702,6.1080303882;Centre régional associé au CNAM;;1986-09-22;;Universités et INP hors écoles d'ingenieurs;0011240T;0690253A;CENTRE REGIONAL ASSO AU CNAM;0753471R;CNAM;FR0193;Q524289;https://www.wikidata.org/entity/Q524289;grid.36823.3c;https://www.grid.ac/institutes/grid.36823.3c;01354;Saint-Genis-Pouilly;UU00652;Annemasse;D001;Ain;A10;Lyon;R84;Auvergne - Rhône-Alpes;100;;;TECHNOPARC DU PAYS DE GE;;01630;ST GENIS POUILLY;;UNIV;506
Île-de-France>Paris>Paris>Paris>Paris  8e;Conservatoire national des arts et métiers;Grand établissement;INSTITUT TECHNIQUE DE BANQUE CONSERVATOIRE NATIONAL DES ARTS ET MÉTIERS;48.8774289419,2.318314506;Composante d'université avec formation diplômante;;1966-03-11;;Universités et INP hors écoles d'ingenieurs;0753475V;0753471R;CNAM PARIS;0753471R;CNAM;FR0193;Q524289;https://www.wikidata.org/entity/Q524289;grid.36823.3c;https://www.grid.ac/institutes/grid.36823.3c;75108;Paris  8e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;7  RUE DU GENERAL FOY;;;75008;PARIS;;UNIV;540
Île-de-France>Créteil>Seine-et-Marne>Paris>Melun;Conservatoire national des arts et métiers;Grand établissement;CENTRE REGIONAL ASSOCIÉ AU CONSERVATOIRE NATIONAL DES ARTS ET MÉTIERS;48.5513770221,2.66011398986;Centre régional associé au CNAM;;1967-02-24;;Universités et INP hors écoles d'ingenieurs;0771127G;0753471R;CNAM PARIS;0753471R;CNAM;FR0193;Q524289;https://www.wikidata.org/entity/Q524289;grid.36823.3c;https://www.grid.ac/institutes/grid.36823.3c;77288;Melun;UU00851;Paris;D077;Seine-et-Marne;A24;Créteil;R11;Île-de-France;100;;RUE EDOUARD BRANLY;;;77011;MELUN CEDEX;;UNIV;506
Pays de la Loire>Nantes>Vendée>La Roche-sur-Yon>La Roche-sur-Yon;Conservatoire national des arts et métiers;Grand établissement;CONSERVATOIRE NATIONAL DES ARTS ET MÉTIERS         (CNAM);46.6769987395,-1.40434949968;Centre régional associé au CNAM;;1986-09-22;;Universités et INP hors écoles d'ingenieurs;0851386V;0753471R;CNAM PARIS;0753471R;CNAM;FR0193;Q524289;https://www.wikidata.org/entity/Q524289;grid.36823.3c;https://www.grid.ac/institutes/grid.36823.3c;85191;La Roche-sur-Yon;UU85501;La Roche-sur-Yon;D085;Vendée;A17;Nantes;R52;Pays de la Loire;100;;221  RUE HUBERT CAILLER;;BP727;85018;LA ROCHE SUR YON CEDEX;;UNIV;506
Île-de-France>Versailles>Hauts-de-Seine>Paris>Clichy;Conservatoire national des arts et métiers;Grand établissement;CENTRE NATIONAL DES ARTS ET DES MÉTIERS;48.909020534,2.30705039772;Centre régional associé au CNAM;;1967-02-24;;Universités et INP hors écoles d'ingenieurs;0920684U;0753471R;CNAM PARIS;0753471R;CNAM;FR0193;Q524289;https://www.wikidata.org/entity/Q524289;grid.36823.3c;https://www.grid.ac/institutes/grid.36823.3c;92024;Clichy;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;100;;107 BOULEVARD GENERAL LECLERC;;;92110;CLICHY;;UNIV;506
Île-de-France>Paris>Paris>Paris>Paris 16e;Muséum national d'histoire naturelle;Grand établissement;MUSÉE DE L'HOMME, MUSÉUM NATIONAL D'HISTOIRE NATURELLE;48.8630018319,2.28716002757;Partie délocalisée d'un établissement de l'enseignement supérieur;;1967-07-02;;Universités et INP hors écoles d'ingenieurs;0753487H;0753494R;MUSEUM NAT HISTOIRE NAT PARIS;0753494R;MNHN;FR0200;Q838691;https://www.wikidata.org/entity/Q838691;grid.410350.3;https://www.grid.ac/institutes/grid.410350.3;75116;Paris 16e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;17  PLACE DU TROCADERO;;;75116;PARIS;;UNIV;507
Provence-Alpes-Côte d'Azur>Aix-Marseille>Vaucluse>Sérignan-du-Comtat>Sérignan-du-Comtat;Muséum national d'histoire naturelle;Grand établissement;MUSEUM NATIONAL D'HISTOIRE NATUREL HARMAS DE FABRE;44.1884046193,4.84074700692;Partie délocalisée d'un établissement de l'enseignement supérieur;;2009-01-09;;Universités et INP hors écoles d'ingenieurs;0841133A;0753494R;MUSEUM NAT HISTOIRE NAT PARIS;0753494R;MNHN;FR0200;Q838691;https://www.wikidata.org/entity/Q838691;grid.410350.3;https://www.grid.ac/institutes/grid.410350.3;84127;Sérignan-du-Comtat;UU84102;Sérignan-du-Comtat;D084;Vaucluse;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;100;;ROUTE D'ORANGE;;;84830;SERIGNAN DU COMTAT;;UNIV;507
Normandie>Rouen>Seine-Maritime>Rouen>Mont-Saint-Aignan;Université de Rouen;Université;UNITE DE FORMATION ET DE RECHERCHE DE PSYCHOLOGIE, SOCIOLOGIE ET SCIENCES DE L'EDUCATION;49.4590452337,1.06768381473;Unité de formation et de recherche (hors santé);;1971-06-05;2976;Universités et INP hors écoles d'ingenieurs;0762046L;0761904G;UNIVERSITE ROUEN;0761904G;;FR0218;Q494247;https://www.wikidata.org/entity/Q494247;grid.10400.35;https://www.grid.ac/institutes/grid.10400.35;76451;Mont-Saint-Aignan;UU00755;Rouen;D076;Seine-Maritime;A21;Rouen;R28;Normandie;100;;RUE LAVOISIER;;;76821;MONT ST AIGNAN CEDEX;;UNIV;539
Normandie>Rouen>Seine-Maritime>Rouen>Mont-Saint-Aignan;Université de Rouen;Université;PUBLICATIONS DE L'UNIVERSITE DE ROUEN;49.4582821762,1.0680931326;Service général;Édition;1997-01-09;;Services communs des universités;0763175N;0761904G;UNIVERSITE ROUEN;0761904G;;FR0218;Q494247;https://www.wikidata.org/entity/Q494247;grid.10400.35;https://www.grid.ac/institutes/grid.10400.35;76451;Mont-Saint-Aignan;UU00755;Rouen;D076;Seine-Maritime;A21;Rouen;R28;Normandie;100;;RUE LAVOISIER;;;76821;MONT ST AIGNAN CEDEX;;SERV;533
Normandie>Rouen>Seine-Maritime>Le Havre>Le Havre;Université du Havre;Université;INSTITUT SUPERIEUR D'ETUDES LOGISTIQUES DE L'UNIVERSITE DU HAVRE;49.4888489026,0.12147655059;Ecole d'ingénieurs;;1995-01-16;461;Ecoles d'ingénieurs;0763096C;0762762P;UNIVERSITE LE HAVRE;0762762P;;FR0220;Q1784954;https://www.wikidata.org/entity/Q1784954;grid.9916.7;https://www.grid.ac/institutes/grid.9916.7;76351;Le Havre;UU76701;Le Havre;D076;Seine-Maritime;A21;Rouen;R28;Normandie;100;;QUAI FRISSARD;;BP1037;76063;LE HAVRE CEDEX;;ING;553
Île-de-France>Créteil>Seine-et-Marne>Paris>Champs-sur-Marne;Université Paris-Est Marne-la-Vallée;Université;INSTITUT UNIVERSITAIRE DE TECHNOLOGIE DE MARNE LA VALLÉE, UNIVERSITÉ PARIS-EST MARNE-LA-VALLÉE;48.8373574545,2.58546469131;Institut universitaire de technologie;;1993-01-09;1970;Universités et INP hors écoles d'ingenieurs;0772432A;0772502B;UNIV PARIS-EST MARNE-LA-VALLEE;0772502B;UPEM;FR0223;Q501207;https://www.wikidata.org/entity/Q501207;grid.10594.39;https://www.grid.ac/institutes/grid.10594.39;77083;Champs-sur-Marne;UU00851;Paris;D077;Seine-et-Marne;A24;Créteil;R11;Île-de-France;100;;4  RUE ALBERT EINSTEIN;;;77420;CHAMPS SUR MARNE;;UNIV;542
Île-de-France>Créteil>Seine-et-Marne>Paris>Champs-sur-Marne;École nationale des ponts et chaussées;Grand établissement relevant d'un autre département ministériel;ECOLE NATIONALE DES PONTS ET CHAUSSÉES;48.852678460999996,2.60182588563;Ecole d'ingénieurs publique (hors tutelle MESR) ou privée;;1998-01-01;785;Ecoles d'ingénieurs;0772517T;0772517T;EN PONTS CHAUSS CHAMPS/MARNE;0772517T;ENPC;FR0224;Q273523;https://www.wikidata.org/entity/Q273523;grid.424447.5;https://www.grid.ac/institutes/grid.424447.5;77083;Champs-sur-Marne;UU00851;Paris;D077;Seine-et-Marne;A24;Créteil;R11;Île-de-France;100;;6  AVENUE B PASCAL  CITE DESCART;;;77420;CHAMPS SUR MARNE;;ING;580
Île-de-France>Versailles>Yvelines>Paris>Versailles;Université de Versailles Saint-Quentin-en-Yvelines;Université;UNITÉ DE FORMATION  ET DE RECHERCHE DE SCIENCES  DE L' UNIVERSITÉ DE VERSAILLES SAINT QUENTIN EN YVELINES;48.810476209,2.14953813705;Unité de formation et de recherche (hors santé);;1991-01-09;3111;Universités et INP hors écoles d'ingenieurs;0782075G;0781944P;UNIVERSITE VERSAILLES ST QUENT;0781944P;;FR0229;Q186638;https://www.wikidata.org/entity/Q186638;grid.12832.3a;https://www.grid.ac/institutes/grid.12832.3a;78646;Versailles;UU00851;Paris;D078;Yvelines;A25;Versailles;R11;Île-de-France;100;;45  AVENUE DES ETATS UNIS;;;78035;VERSAILLES CEDEX;;UNIV;539
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Villeneuve-d'Ascq;Université Lille 1 - Sciences technologies;Université;UNITÉ DE FORMATION ET DE RECHERCHE EN CHIMIE DE L'UNIVERSITÉ LILLE1;50.6103530563,3.14431386989;Unité de formation et de recherche (hors santé);;1971-05-05;687;Universités et INP hors écoles d'ingenieurs;0593205N;0593559Y;UNIVERSITE LILLE 1;0593559Y;;FR0123;Q500740;https://www.wikidata.org/entity/Q500740;grid.4461.7;https://www.grid.ac/institutes/grid.4461.7;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;Cité SCIENTIFIQUE;;;59655;VILLENEUVE D ASCQ CEDEX;;UNIV;539
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Loos;Université Lille 2 - Droit et Santé;Université;IUP INGENERIE DE LA SANTE ILIS;50.6018585813,3.03800533282;Institut universitaire professionnalisé;;1992-01-09;1504;Universités et INP hors écoles d'ingenieurs;0595992T;0593560Z;UNIVERSITE LILLE 2;0593560Z;;FR0124;Q11509930;https://www.wikidata.org/entity/Q11509930;grid.16780.38;https://www.grid.ac/institutes/grid.16780.38;59360;Loos;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;42 RUE AMBROISE PARE;;;59120;LOOS;;UNIV;541
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Villeneuve-d'Ascq;Université Lille 3 - Charles-de-Gaulle;Université;SERVICE COMMUN DE LA DOCUMENTATION UNIVERSITAIRE DE L UNIVERSITE DE LILLE 3;50.6268902211,3.12630508426;Service commun de documentation;Documentation;1967-11-15;;Services communs des universités;0592755Z;0593561A;UNIVERSITE LILLE 3;0593561A;;FR0125;Q1141586;https://www.wikidata.org/entity/Q1141586;grid.448803.3;https://www.grid.ac/institutes/grid.448803.3;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;RUE DU BARREAU;DOMAINE PONT DE BOIS;BP99;59652;VILLENEUVE D ASCQ CEDEX;;SERV;526
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Villeneuve-d'Ascq;Université Lille 3 - Charles-de-Gaulle;Université;CENTRE DE RESSOURCES INFORMATIQUES;50.6268902211,3.12630508426;Service général;Système d'information;1998-01-09;;Services communs des universités;0596413A;0593561A;UNIVERSITE LILLE 3;0593561A;;FR0125;Q1141586;https://www.wikidata.org/entity/Q1141586;grid.448803.3;https://www.grid.ac/institutes/grid.448803.3;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;RUE DU BARREAU;DOMAINE PONT DE BOIS;BP60149;59653;VILLENEUVE D ASCQ CEDEX;;SERV;533
Auvergne - Rhône-Alpes>Clermont-Ferrand>Puy-de-Dôme>Clermont-Ferrand>Aubière;SIGMA Clermont;École d'ingénieurs;ECOLE D' INGÉNIEURS SIGMA CLERMONT;45.7573645425,3.11421105415;Ecole d'ingénieurs;;2016-01-01;944;Ecoles d'ingénieurs;0632033T;0632033T;ECOLE D' INGENIEURS;0632033T;SIGMA;;Q21968199;https://www.wikidata.org/entity/Q21968199;;;63014;Aubière;UU63701;Clermont-Ferrand;D063;Puy-de-Dôme;A06;Clermont-Ferrand;R84;Auvergne - Rhône-Alpes;100;CAMPUS DES CEZEAUX;27  RUE DE ROCHE GENES;;CS20265;63178;AUBIERE CEDEX;;ING;553
Aquitaine - Limousin - Poitou-Charentes>Bordeaux>Pyrénées-Atlantiques>Pau>Pau;Université de Pau et des Pays de l'Adour;Université;ECOLE NATIONALE SUPERIEURE EN GENIE DES TECHNOLOGIES INDUSTRIELLES, UNIVERSITE DE PAU ET DES PAYS DE L ADOUR;43.3199816524,-0.363899801057;Ecole d'ingénieurs;;1991-07-10;263;Ecoles d'ingénieurs;0641846J;0640251A;UNIVERSITE PAU;0640251A;UPPA;FR0140;Q572968;https://www.wikidata.org/entity/Q572968;grid.5571.6;https://www.grid.ac/institutes/grid.5571.6;64445;Pau;UU64601;Pau;D064;Pyrénées-Atlantiques;A04;Bordeaux;R75;Aquitaine - Limousin - Poitou-Charentes;100;;;I F R   5 RUE J  FERRY;;64000;PAU;;ING;553
Aquitaine - Limousin - Poitou-Charentes>Bordeaux>Pyrénées-Atlantiques>Bayonne>Anglet;Université de Pau et des Pays de l'Adour;Université;UNITE FORMATION ET RECHERCHE SCIENCES ET TECHNIQUES DE LA COTE BASQUE UNIVERSITE PAU ADOUR;43.479257305,-1.50877489889;Unité de formation et de recherche (hors santé);;1996-01-09;494;Universités et INP hors écoles d'ingenieurs;0641919N;0640251A;UNIVERSITE PAU;0640251A;UPPA;FR0140;Q572968;https://www.wikidata.org/entity/Q572968;grid.5571.6;https://www.grid.ac/institutes/grid.5571.6;64024;Anglet;UU00751;Bayonne;D064;Pyrénées-Atlantiques;A04;Bordeaux;R75;Aquitaine - Limousin - Poitou-Charentes;100;;PARC MONTAURY;;;64600;ANGLET;;UNIV;539
Alsace - Champagne-Ardenne - Lorraine>Strasbourg>Bas-Rhin>Strasbourg>Strasbourg;Université de Strasbourg;Université;FACULTÉ DE SCIENCES ÉCONOMIQUES ET DE GESTION, UNIVERSITÉ DE STRASBOURG;48.5832072163,7.77321358414;Unité de formation et de recherche (hors santé);;1971-06-05;1664;Universités et INP hors écoles d'ingenieurs;0671872W;0673021V;UNIVERSITE STRASBOURG;0673021V;;FR0149;Q157575;https://www.wikidata.org/entity/Q157575;grid.11843.3f;https://www.grid.ac/institutes/grid.11843.3f;67482;Strasbourg;UU67701;Strasbourg;D067;Bas-Rhin;A15;Strasbourg;R44;Alsace - Champagne-Ardenne - Lorraine;100;;61  AVENUE DE LA FORET NOIRE;;;67085;STRASBOURG CEDEX;;UNIV;539
Alsace - Champagne-Ardenne - Lorraine>Strasbourg>Bas-Rhin>Strasbourg>Strasbourg;Université de Strasbourg;Université;FACULTÉ DES SIENCES DU SPORT, UNIVERSITÉ DE STRASBOURG;48.5781687814,7.76265370754;Unité de formation et de recherche (hors santé);;1977-03-03;1457;Universités et INP hors écoles d'ingenieurs;0672070L;0673021V;UNIVERSITE STRASBOURG;0673021V;;FR0149;Q157575;https://www.wikidata.org/entity/Q157575;grid.11843.3f;https://www.grid.ac/institutes/grid.11843.3f;67482;Strasbourg;UU67701;Strasbourg;D067;Bas-Rhin;A15;Strasbourg;R44;Alsace - Champagne-Ardenne - Lorraine;100;;14  RUE DESCARTES BAT LE PORTIQU;;BP80010;67084;STRASBOURG CEDEX;;UNIV;539
Alsace - Champagne-Ardenne - Lorraine>Strasbourg>Bas-Rhin>Strasbourg>Strasbourg;Université de Strasbourg;Université;ECOLE D'ORTOPHONIE FACULTÉ DE MÉDECINE;48.5769794396,7.74042252066;Unité de formation et de recherche en santé;;1987-01-10;;Universités et INP hors écoles d'ingenieurs;0672688H;0673021V;UNIVERSITE STRASBOURG;0673021V;;FR0149;Q157575;https://www.wikidata.org/entity/Q157575;grid.11843.3f;https://www.grid.ac/institutes/grid.11843.3f;67482;Strasbourg;UU67701;Strasbourg;D067;Bas-Rhin;A15;Strasbourg;R44;Alsace - Champagne-Ardenne - Lorraine;100;;4  RUE KIRSCHLEGER;;;67085;STRASBOURG CEDEX;;UNIV;537
