"insee_com","lib_com","id_acv","lib_acv","date_signature"
"71153","Le Creusot","acv-109","Le Creusot",2018-09-28
"71270","Mâcon","acv-127","Mâcon",2018-10-22
"71306","Montceau-les-Mines","acv-141","Montceau-les-Mines",2018-12-07
"72154","La Flèche","acv-104","La Flèche - Sablé-sur-Sarthe",2018-09-28
"72264","Sablé-sur-Sarthe","acv-104","La Flèche - Sablé-sur-Sarthe",2018-09-28
"73065","Chambéry","acv-052","Chambéry",2018-09-29
"74225","Rumilly","acv-172","Rumilly",2018-09-28
"76217","Dieppe","acv-073","Dieppe",2018-07-05
"76259","Fécamp","acv-086","Fécamp",2018-07-04
"77014","Avon","acv-090","Fontainebleau - Avon",2018-10-09
"77131","Coulommiers","acv-068","Coulommiers",2018-10-25
"77186","Fontainebleau","acv-090","Fontainebleau - Avon",2018-10-09
"77284","Meaux","acv-132","Meaux",2018-10-22
"77288","Melun","acv-133","Melun",2018-10-10
"77305","Montereau-Fault-Yonne","acv-143","Montereau-Fault-Yonne",2018-10-09
"77333","Nemours","acv-148","Nemours",2018-10-16
"78335","Limay","acv-117","Limay - Mantes-la-Jolie",2018-10-05
"78361","Mantes-la-Jolie","acv-117","Limay - Mantes-la-Jolie",2018-10-05
"78401","Meulan-en-Yvelines","acv-115","Les Mureaux – Melan-en-Yvelines",2018-10-08
"78440","Les Mureaux","acv-115","Les Mureaux – Melan-en-Yvelines",2018-10-08
"78498","Poissy","acv-158","Poissy",2018-10-04
"78517","Rambouillet","acv-163","Rambouillet",2018-10-02
"78586","Sartrouville","acv-190","Sartrouville",2018-10-02
"78621","Trappes","acv-204","Trappes",2018-10-09
"79049","Bressuire","acv-038","Bressuire",2018-09-18
"79191","Niort","acv-150","Niort",2018-07-16
"80001","Abbeville","acv-001","Abbeville",2018-09-28
"81004","Albi","acv-005","Albi",2018-08-17
"81065","Castres","acv-047","Castres - Mazamet",2018-09-28
"81163","Mazamet","acv-047","Castres - Mazamet",2018-09-28
"82033","Castelsarrasin","acv-223","Castelsarrasin",
"82121","Montauban","acv-138","Montauban",2018-07-09
"83023","Brignoles","acv-040","Brignoles",2018-10-01
"83050","Draguignan","acv-077","Draguignan",2018-09-28
"84007","Avignon","acv-020","Avignon",2018-11-16
"84031","Carpentras","acv-046","Carpentras",2018-11-28
"84035","Cavaillon","acv-048","Cavaillon",2018-09-27
"85092","Fontenay-le-Comte","acv-091","Fontenay-le-Comte",2018-09-27
"85191","La Roche-sur-Yon","acv-105","La Roche-sur-Yon",2018-10-02
"86066","Châtellerault","acv-058","Châtellerault",2018-07-11
"86194","Poitiers","acv-159","Poitiers",2018-10-01
"87085","Limoges","acv-118","Limoges",2018-09-28
"88160","Épinal","acv-082","Épinal",2018-09-11
"88413","Saint-Dié-des-Vosges","acv-176","Saint-Dié-des-Vosges",2018-07-13
"89024","Auxerre","acv-019","Auxerre",2018-09-28
"89387","Sens","acv-195","Sens",2018-09-30
"90010","Belfort","acv-028","Belfort",2018-09-01
"91021","Arpajon","acv-013","Arpajon",2018-10-13
"91174","Corbeil-Essonnes","acv-066","Corbeil-Essonnes",2018-10-02
"91223","Étampes","acv-083","Étampes",2018-10-09
"91228","Évry-Courcouronnes","acv-085","Évry",2018-10-31
"91570","Saint-Michel-sur-Orge","acv-182","Saint-Michel-sur-Orge",2018-06-14
"95052","Beaumont-sur-Oise","acv-026","Beaumont-sur-Oise - Persan",2018-12-06
"95277","Gonesse","acv-097","Gonesse",2018-11-14
"95487","Persan","acv-026","Beaumont-sur-Oise - Persan",2018-12-06
"95500","Pontoise","acv-226","Pontoise",
"97101","Les Abymes","acv-114","Les Abymes - Pointe-à-Pitre",2018-09-27
"97105","Basse-Terre","acv-023","Basse-Terre",2018-09-27
"97120","Pointe-à-Pitre","acv-114","Les Abymes - Pointe-à-Pitre",2018-09-27
"97209","Fort-de-France","acv-093","Fort-de-France",2018-09-27
