rentree_scolaire;academie;code_du_departement;departement;uai;nom_de_l_etablissment;code_insee_de_la_commune;nom_de_la_commune;secteur;type_de_lycee;ips_voie_gt;ips_voie_pro;ips_ensemble_gt_pro;ecart_type_de_l_ips_voie_gt;ecart_type_de_l_ips_voie_pro
2017-2018;MONTPELLIER;34;HERAULT;0340871M;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LA TRINITE;34032;BEZIERS;privé sous contrat;LEGT;121.7;;121.7;;
2017-2018;MONTPELLIER;34;HERAULT;0342175E;LYCEE POLYVALENT PRIVE LA MERCI LITTORAL;34344;LA GRANDE MOTTE;privé sous contrat;LPO;119.0;97.4;113.4;;
2017-2018;RENNES;35;ILLE-ET-VILAINE;0350005R;LYCEE POLYVALENT YVON BOURGES;35093;DINARD;public;LPO;118.8;105.4;110.6;;
2017-2018;RENNES;35;ILLE-ET-VILAINE;0350024L;LYCEE GENERAL EMILE ZOLA;35238;RENNES;public;LEGT;133.8;;133.8;;
2017-2018;RENNES;35;ILLE-ET-VILAINE;0350028R;LYCEE GENERAL ET TECHNOLOGIQUE BREQUIGNY;35238;RENNES;public;LEGT;114.0;;114.0;;
2017-2018;RENNES;35;ILLE-ET-VILAINE;0350050P;LYCEE PROFESSIONNEL BEL AIR LYCEE DES METIERS DE LA LOGISTIQUE DU TRANSPORT ET DE LA MAINTENANCE DES VEHICULES;35337;TINTENIAC;public;LP;;82.1;82.1;;
2017-2018;RENNES;35;ILLE-ET-VILAINE;0350709F;LYCEE PROFESSIONNEL LA CHAMPAGNE LYCEE DES METIERS DE L ENERGIE ET DE L HABITAT;35360;VITRE;public;LP;;83.6;83.6;;
2017-2018;RENNES;35;ILLE-ET-VILAINE;0350761M;LYCEE PROFESSIONNEL JEAN GUEHENNO;35115;FOUGERES;public;LP;;85.0;85.0;;
2017-2018;RENNES;35;ILLE-ET-VILAINE;0350783L;COLLEGE ET LYCEE GENERAL ET TECHNOLOGIQUE PRIVES SAINT MARTIN / SAINTE GENEVIEVE;35238;RENNES;privé sous contrat;LEGT;117.6;;117.6;;
2017-2018;RENNES;35;ILLE-ET-VILAINE;0352009U;LYCEE GENERAL ET TECHNOLOGIQUE VICTOR ET HELENE BASCH;35238;RENNES;public;LEGT;120.7;;120.7;;
2017-2018;RENNES;35;ILLE-ET-VILAINE;0352304P;LYCEE GENERAL ET TECHNOLOGIQUE SEVIGNE;35051;CESSON SEVIGNE;public;LEGT;134.4;;134.4;;
2017-2018;RENNES;35;ILLE-ET-VILAINE;0352446U;LYCEE PROFESSIONNEL PRIVE SAINTE THERESE LYCEE DES METIERS DE LA RESTAURATION ET DE L HOTELLERIE;35125;LA GUERCHE DE BRETAGNE;privé sous contrat;LP;;107.4;107.4;;
2017-2018;RENNES;35;ILLE-ET-VILAINE;0352471W;LYCEE GENERAL PRIVE SAINT MAGLOIRE;35095;DOL DE BRETAGNE;privé sous contrat;LEGT;103.9;;103.9;;
2017-2018;RENNES;35;ILLE-ET-VILAINE;0352867B;SGT EDUCATION NATIONALE DU LYCEE AGRICOLE THEODORE MONOD;35240;LE RHEU;public;LEGT;124.9;;124.9;;
2017-2018;ORLEANS-TOURS;36;INDRE;0360009P;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE ET MARIE CURIE;36044;CHATEAUROUX;public;LEGT;103.1;;103.1;;
2017-2018;ORLEANS-TOURS;36;INDRE;0360693H;LYCEE POLYVALENT PRIVE SAINTE SOLANGE;36044;CHATEAUROUX;privé sous contrat;LPO;117.0;97.4;113.5;;
2017-2018;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0370035M;LYCEE GENERAL DESCARTES;37261;TOURS;public;LEGT;129.3;;129.3;;
2017-2018;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0370039S;LYCEE GENERAL ET TECHNOLOGIQUE PAUL LOUIS COURIER;37261;TOURS;public;LEGT;117.8;;117.8;;
2017-2018;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0370727P;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE GRAND SAINT GREGOIRE;37261;TOURS;privé sous contrat;LEGT;137.7;;137.7;;
2017-2018;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0370757X;LYCEE PROFESSIONNEL PRIVE SAINT VINCENT DE PAUL;37261;TOURS;privé sous contrat;LP;;100.6;100.6;;
2017-2018;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0371123V;LYCEE PROFESSIONNEL JEAN CHAPTAL;37003;AMBOISE;public;LP;;88.7;88.7;;
2017-2018;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0371211R;LYCEE PROFESSIONNEL BEAUREGARD LYCEE DES METIERS DU TERTIAIRE DE LA MAINTENANCE ET DE L ELECTROTECHNIQUE;37063;CHATEAU RENAULT;public;LP;;85.3;85.3;;
2017-2018;GRENOBLE;38;ISERE;0380029A;LYCEE GENERAL ET TECHNOLOGIQUE LES EAUX CLAIRES;38185;GRENOBLE;public;LEGT;121.8;;121.8;;
2017-2018;GRENOBLE;38;ISERE;0380083J;LYCEE POLYVALENT GALILEE LYCEE DES METIERS DE LA CHIMIE (A ABSORBE L'UAI 0380100C EN 2017);38544;VIENNE;public;LPO;115.0;82.9;102.7;;
2017-2018;GRENOBLE;38;ISERE;0380091T;LYCEE POLYVALENT EDOUARD HERRIOT;38563;VOIRON;public;LPO;125.3;92.2;119.4;;
2017-2018;GRENOBLE;38;ISERE;0381603L;LYCEE POLYVALENT ANDRE ARGOUGES;38185;GRENOBLE;public;LPO;121.4;93.4;109.2;;
2017-2018;GRENOBLE;38;ISERE;0381660Y;LYCEE GENERAL PRIVE SAINTE CECILE;38130;LA COTE SAINT ANDRE;privé sous contrat;LEGT;115.9;;115.9;;
2017-2018;GRENOBLE;38;ISERE;0381670J;LYCEE GENERAL PRIVE JEANNE D ARC;38298;LE PEAGE DE ROUSSILLON;privé sous contrat;LEGT;103.7;;103.7;;
2017-2018;GRENOBLE;38;ISERE;0381738H;LYCEE PROFESSIONNEL PRIVE ROBIN;38544;VIENNE;privé sous contrat;LP;;99.0;99.0;;
2017-2018;GRENOBLE;38;ISERE;0381806G;LYCEE PROFESSIONNEL PRIVE BORDIER LYCEE DES METIERS DU COMMERCE DU SOCIAL ET DES SERVICES A LA PERSONNE;38185;GRENOBLE;privé sous contrat;LP;;85.0;85.0;;
2017-2018;GRENOBLE;38;ISERE;0382093U;LYCEE PROFESSIONNEL PRIVE ALPES SUD ISERE;38499;SUSVILLE;privé sous contrat;LP;;88.2;88.2;;
2017-2018;GRENOBLE;38;ISERE;0382169B;LYCEE PROFESSIONNEL PIVE LES PRAIRIES;38563;VOIRON;privé sous contrat;LP;;77.4;77.4;;
2017-2018;GRENOBLE;38;ISERE;0382274R;LYCEE PROFESSIONNEL FRANCOISE DOLTO LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;38170;FONTANIL CORNILLON;public;LP;;88.4;88.4;;
2017-2018;BESANCON;39;JURA;0390021L;LP MONTCIEL LYCEE DES METIERS SANITAIRE ET SOCIAL;39300;LONS LE SAUNIER;public;LP;;83.5;83.5;;
2017-2018;BESANCON;39;JURA;0390094R;LYCEE PROFESSIONNEL PRIVE SAINTE MARIE;39300;LONS LE SAUNIER;privé sous contrat;LP;;94.8;94.8;;
2017-2018;BESANCON;39;JURA;0390786T;LYCEE POLYVALENT PRE SAINT SAUVEUR;39478;SAINT CLAUDE;public;LPO;96.3;76.3;90.0;;
2017-2018;BESANCON;39;JURA;0390914G;LP FERDINAND FILLOD LYCEE DES METIERS DES ARTS DU METAL;39475;SAINT AMOUR;public;LP;;96.6;96.6;;
2017-2018;BESANCON;39;JURA;0391131T;INSTITUT EUROPEEN DE FORMATION COMPAGNONS DU TOUR DE FRANCE;39370;MOUCHARD;privé sous contrat;LP;;118.2;118.2;;
2017-2018;BESANCON;39;JURA;0391146J;LYCEE POLYVALENT PRIVE PASTEUR MONT ROLAND;39198;DOLE;privé sous contrat;LPO;103.4;90.1;98.0;;
2017-2018;BORDEAUX;40;LANDES;0400020E;LYCEE PROFESSIONNEL ROBERT WLERICK LYCEE DES METIERS TERTIAIRES ET SERVICES;40192;MONT DE MARSAN;public;LP;;80.8;80.8;;
2017-2018;ORLEANS-TOURS;41;LOIR-ET-CHER;0410002E;LYCEE GENERAL ET TECHNOLOGIQUE F PHILIBERT DESSAIGNES;41018;BLOIS;public;LEGT;113.0;;113.0;;
2017-2018;ORLEANS-TOURS;41;LOIR-ET-CHER;0410030K;LYCEE GENERAL ET TECHNOLOGIQUE RONSARD;41269;VENDOME;public;LEGT;116.5;;116.5;;
2017-2018;ORLEANS-TOURS;41;LOIR-ET-CHER;0410718H;LYCEE PROFESSIONNEL VAL DE CHER LYCEE DES METIERS DE L ENERGIE ET DES SERVICES;41198;SAINT AIGNAN;public;LP;;85.6;85.6;;
2017-2018;ORLEANS-TOURS;41;LOIR-ET-CHER;0410899E;LYCEE POLYVALENT VAL DE LOIRE LYCEE DES METIERS DE L HOTELLERIE ET DE TOURISME DU VAL DE LOIRE;41018;BLOIS;public;LPO;112.3;94.7;100.6;;
2017-2018;LYON;42;LOIRE;0420018S;LYCEE GENERAL ET TECHNOLOGIQUE BEAUREGARD;42147;MONTBRISON;public;LEGT;115.9;;115.9;;
2017-2018;LYON;42;LOIRE;0420029D;LYCEE PROFESSIONNEL RENE CASSIN LYCEE DES METIERS DE LA DISTRIBUTION ET DES SERVICES;42186;RIVE DE GIER;public;LP;;74.9;74.9;;
2017-2018;LYON;42;LOIRE;0420040R;LYCEE GENERAL ET TECHNOLOGIQUE CLAUDE LEBOIS LYCEE DES METIERS TRANSPORT ET LOGISTIQUE LYCEE DES METIERS CHAUDRONNERIE ET USINAGE;42207;SAINT CHAMOND;public;LEGT;103.3;;103.3;;
2017-2018;LYON;42;LOIRE;0420079H;LYCEE PROFESSIONNEL ETIENNE MIMARD;42218;SAINT ETIENNE;public;LP;;85.6;85.6;;
2017-2018;LYON;42;LOIRE;0420973E;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT PAUL FOREZ;42147;MONTBRISON;privé sous contrat;LEGT;114.8;;114.8;;
2017-2018;LYON;42;LOIRE;0420979L;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE TEZENAS DU MONTCEL LYCEE DES METIERS DE LA GESTION ET DU COMMERCE;42218;SAINT ETIENNE;privé sous contrat;LEGT;100.0;;100.0;;
2017-2018;LYON;42;LOIRE;0420996E;LYCEE PROFESSIONNEL PRIVE LA GRAND GRANGE;42207;SAINT CHAMOND;privé sous contrat;LP;;98.7;98.7;;
2017-2018;LYON;42;LOIRE;0421023J;LYCEE GENERAL PRIVE SAINT PAUL;42187;ROANNE;privé sous contrat;LEGT;121.7;;121.7;;
2017-2018;CLERMONT-FERRAND;43;HAUTE-LOIRE;0430023S;LYCEE PROFESSIONNEL AUGUSTE AYMARD;43089;ESPALY SAINT MARCEL;public;LP;;91.6;91.6;;
2017-2018;CLERMONT-FERRAND;43;HAUTE-LOIRE;0430024T;LYCEE PROFESSIONNEL JEAN MONNET LYCEE DES METIERS;43157;LE PUY EN VELAY;public;LP;;85.7;85.7;;
2017-2018;CLERMONT-FERRAND;43;HAUTE-LOIRE;0430065M;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SACRE COEUR;43268;YSSINGEAUX;privé sous contrat;LEGT;109.3;;109.3;;
2017-2018;NANTES;44;LOIRE-ATLANTIQUE;0440030U;LYCEE POLYVALENT GASPARD MONGE LA CHAUVINIERE;44109;NANTES;public;LPO;125.6;88.6;112.3;;
2017-2018;NANTES;44;LOIRE-ATLANTIQUE;0440035Z;LYCEE PROFESSIONNEL LEONARD DE VINCI;44109;NANTES;public;LP;;82.0;82.0;;
2017-2018;NANTES;44;LOIRE-ATLANTIQUE;0440069L;LYCEE GENERAL ET TECHNOLOGIQUE ARISTIDE BRIAND;44184;SAINT NAZAIRE;public;LEGT;111.2;;111.2;;
2017-2018;NANTES;44;LOIRE-ATLANTIQUE;0440154D;LYCEE GENERAL PRIVE BLANCHE DE CASTILLE;44109;NANTES;privé sous contrat;LEGT;132.3;;132.3;;
2017-2018;NANTES;44;LOIRE-ATLANTIQUE;0440255N;LYCEE PROFESSIONNEL PRIVE ENCIA;44109;NANTES;privé sous contrat;LP;;127.4;127.4;;
2017-2018;NANTES;44;LOIRE-ATLANTIQUE;0440537V;LYCEE PROFESSIONNEL LES SAVARIERES;44190;SAINT SEBASTIEN SUR LOIRE;public;LP;;98.5;98.5;;
2017-2018;NANTES;44;LOIRE-ATLANTIQUE;0441823T;LYCEE PROFESSIONNEL HEINLEX LYCEE DES METIERS DE LA CHIMIE;44184;SAINT NAZAIRE;public;LP;;94.7;94.7;;
2017-2018;NANTES;44;LOIRE-ATLANTIQUE;0441993C;LYCEE GENERAL ET TECHNOLOGIQUE CARCOUET;44109;NANTES;public;LEGT;102.5;;102.5;;
2017-2018;NANTES;44;LOIRE-ATLANTIQUE;0442071M;LYCEE PROFESSIONNEL PRIVE DANIEL BROTTIER;44020;BOUGUENAIS;privé sous contrat;LP;;101.6;101.6;;
2017-2018;NANTES;44;LOIRE-ATLANTIQUE;0442094M;LPO NICOLAS APPERT LYC MET DE L HOTELLERIE RESTAURATION LYC MET DE L INGENIERIE INDUSTRIELLE;44114;ORVAULT;public;LPO;130.0;108.3;126.9;;
2017-2018;ORLEANS-TOURS;45;LOIRET;0450029M;LYCEE GENERAL ET TECHNOLOGIQUE BERNARD PALISSY;45155;GIEN;public;LEGT;101.1;;101.1;;
2017-2018;ORLEANS-TOURS;45;LOIRET;0450042B;LYCEE GENERAL ET TECHNOLOGIQUE DURZY;45338;VILLEMANDEUR;public;LEGT;106.8;;106.8;;
2017-2018;ORLEANS-TOURS;45;LOIRET;0450049J;LYCEE GENERAL ET TECHNOLOGIQUE POTHIER;45234;ORLEANS;public;LEGT;109.7;;109.7;;
2017-2018;TOULOUSE;46;LOT;0460013P;LYCEE POLYVALENT LEO FERRE;46127;GOURDON;public;LPO;113.2;83.7;103.6;;
2017-2018;TOULOUSE;46;LOT;0460038S;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT ETIENNE;46042;CAHORS;privé sous contrat;LEGT;114.9;;114.9;;
2017-2018;TOULOUSE;46;LOT;0460051F;LYCEE PROFESSIONNEL CLEMENT MAROT LYCEE DES METIERS DU TERTIAIRE ET DU SOCIAL;46042;CAHORS;public;LP;;89.4;89.4;;
2017-2018;BORDEAUX;47;LOT-ET-GARONNE;0470028A;LYCEE GENERAL GEORGE SAND;47195;NERAC;public;LEGT;108.1;;108.1;;
2017-2018;BORDEAUX;47;LOT-ET-GARONNE;0470730N;LYCEE PROFESSIONNEL PRIVE NOTRE DAME LA COMPASSION;47157;MARMANDE;privé sous contrat;LP;;82.1;82.1;;
2017-2018;NANTES;49;MAINE-ET-LOIRE;0490001K;LYCEE GENERAL DAVID D ANGERS;49007;ANGERS;public;LEGT;125.7;;125.7;;
2017-2018;NANTES;49;MAINE-ET-LOIRE;0490005P;LYCEE PROFESSIONNEL SIMONE VEIL;49007;ANGERS;public;LP;;79.0;79.0;;
2017-2018;NANTES;49;MAINE-ET-LOIRE;0490040C;LYCEE GENERAL DUPLESSIS MORNAY;49328;SAUMUR;public;LEGT;110.2;;110.2;;
2017-2018;NANTES;49;MAINE-ET-LOIRE;0490055U;LYCEE POLYVALENT SADI CARNOT JEAN BERTIN LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;49328;SAUMUR;public;LPO;98.9;83.0;89.6;;
2017-2018;NANTES;49;MAINE-ET-LOIRE;0490782J;LYCEE POLYVALENT BLAISE PASCAL;49331;SEGRE EN ANJOU BLEU;public;LPO;108.6;84.8;101.7;;
2017-2018;NANTES;49;MAINE-ET-LOIRE;0490838V;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT LOUIS;49328;SAUMUR;privé sous contrat;LEGT;118.7;;118.7;;
2017-2018;NANTES;49;MAINE-ET-LOIRE;0491646Y;LYCEE PROFESSIONNEL LUDOVIC MENARD;49353;TRELAZE;public;LP;;79.4;79.4;;
2017-2018;NANTES;49;MAINE-ET-LOIRE;0492148U;LYCEE GENERAL ET TECHNOLOGIQUE JEAN BODIN;49246;LES PONTS DE CE;public;LEGT;120.7;;120.7;;
2017-2018;NANTES;49;MAINE-ET-LOIRE;0492407A;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE URBAIN MONGAZON LYCEE DES METIERS DE LA SANTE ET DES SERVICES A LA PERSONNE;49007;ANGERS;privé sous contrat;LEGT;136.0;;136.0;;
2017-2018;NANTES;49;MAINE-ET-LOIRE;0492430A;LYCEE POLYVALENT;49023;BEAUPREAU EN MAUGES;public;LPO;100.8;88.3;98.7;;
2017-2018;CAEN;50;MANCHE;0500026G;LYCEE GENERAL ET TECHNOLOGIQUE CHARLES FRANCOIS LEBRUN;50147;COUTANCES;public;LEGT;107.9;;107.9;;
2017-2018;CAEN;50;MANCHE;0500112A;LYCEE GENERAL PRIVE INSTITUT NOTRE DAME;50025;AVRANCHES;privé sous contrat;LEGT;106.1;;106.1;;
2017-2018;CAEN;50;MANCHE;0500119H;LYCEE GENERAL PRIVE SEVIGNE;50218;GRANVILLE;privé sous contrat;LEGT;116.5;;116.5;;
2017-2018;CAEN;50;MANCHE;0501828R;LYCEE GENERAL ET TECHNOLOGIQUE VICTOR GRIGNARD;50129;CHERBOURG EN COTENTIN;public;LEGT;114.5;;114.5;;
2017-2018;CAEN;50;MANCHE;0501941N;LYCEE PROFESSIONNEL PRIVE INSTITUTION NOTRE DAME;50099;CARENTAN LES MARAIS;privé sous contrat;LP;;85.5;85.5;;
2017-2018;REIMS;51;MARNE;0510031G;LYCEE GENERAL GEORGES CLEMENCEAU;51454;REIMS;public;LEGT;109.5;;109.5;;
2017-2018;REIMS;51;MARNE;0510062R;LYCEE POLYVALENT FRANCOIS 1ER;51649;VITRY LE FRANCOIS;public;LPO;104.4;77.5;96.2;;
2017-2018;REIMS;51;MARNE;0511135G;LYCEE GENERAL PRIVE NOTRE DAME SAINT VICTOR;51230;EPERNAY;privé sous contrat;LEGT;115.6;;115.6;;
2017-2018;REIMS;51;MARNE;0511142P;LYCEE GENERAL PRIVE SACRE COEUR;51454;REIMS;privé sous contrat;LEGT;130.4;;130.4;;
2017-2018;REIMS;51;MARNE;0511145T;LYCEE POLYVALENT PRIVE SAINT MICHEL;51454;REIMS;privé sous contrat;LPO;110.8;97.9;104.9;;
2017-2018;REIMS;51;MARNE;0511146U;LYCEE POLYVALENT PRIVE SAINT JEAN BAPTISTE DE LA SALLE LYCEE DES METIERS DE LA MAINTENANCE;51454;REIMS;privé sous contrat;LPO;121.6;105.7;111.5;;
2017-2018;REIMS;51;MARNE;0511147V;LYCEE POLYVALENT PRIVE FREDERIC OZANAM LYCEE DES METIERS DES SERVICES A LA PERSONNE;51108;CHALONS EN CHAMPAGNE;privé sous contrat;LPO;117.7;96.8;110.0;;
2017-2018;REIMS;51;MARNE;0511565Z;LYCEE POLYVALENT FRANCOIS ARAGO LYCEE DES METIERS DU BATIMENT LYCEE DES METIERS DES TRAVAUX PUBLICS;51454;REIMS;public;LPO;102.8;89.9;98.4;;
2017-2018;REIMS;51;MARNE;0511901P;LYCEE GENERAL ET TECHNOLOGIQUE COLBERT;51454;REIMS;public;LEGT;98.6;;98.6;;
2017-2018;REIMS;52;HAUTE-MARNE;0520021R;LYCEE POLYVALENT DIDEROT;52269;LANGRES;public;LPO;111.1;79.9;105.0;;
2017-2018;REIMS;52;HAUTE-MARNE;0520028Y;LYCEE GENERAL ET TECHNOLOGIQUE BLAISE PASCAL;52448;SAINT DIZIER;public;LEGT;101.9;;101.9;;
2017-2018;REIMS;52;HAUTE-MARNE;0520795G;LYCEE PROFESSIONNEL EDME BOUCHARDON;52121;CHAUMONT;public;LP;;81.5;81.5;;
2017-2018;REIMS;52;HAUTE-MARNE;0520844K;LYCEE GENERAL ET TECHNOLOGIQUE EDME BOUCHARDON;52121;CHAUMONT;public;LEGT;102.9;;102.9;;
2017-2018;REIMS;52;HAUTE-MARNE;0520923W;LYCEE PROFESSIONNEL ST EXUPERY;52448;SAINT DIZIER;public;LP;;76.3;76.3;;
2017-2018;NANTES;53;MAYENNE;0530011Z;LYCEE GENERAL ET TECHNOLOGIQUE DOUANIER ROUSSEAU;53130;LAVAL;public;LEGT;112.8;;112.8;;
2017-2018;NANTES;53;MAYENNE;0530016E;LYCEE GENERAL ET TECHNOLOGIQUE LAVOISIER;53147;MAYENNE;public;LEGT;110.0;;110.0;;
2017-2018;NANTES;53;MAYENNE;0530079Y;LP LEONARD DE VINCI LYC MET DE L IMPRIMERIE ET DE LA COMMUNICATION VISUELLE LYC MET DES VEHICULES ET DU TRANSPORT;53147;MAYENNE;public;LP;;85.3;85.3;;
2017-2018;NANCY-METZ;54;MEURTHE-ET-MOSELLE;0540038Y;LYCEE GENERAL ET TECHNOLOGIQUE HENRI POINCARE;54395;NANCY;public;LEGT;123.1;;123.1;;
2017-2018;NANCY-METZ;54;MEURTHE-ET-MOSELLE;0540041B;LYCEE GENERAL ET TECHNOLOGIQUE GEORGES DE LA TOUR;54395;NANCY;public;LEGT;103.1;;103.1;;
2017-2018;NANCY-METZ;54;MEURTHE-ET-MOSELLE;0540081V;LYCEE PROFESSIONNEL JEAN PROUVE LYCEE DES METIERS DE LA GESTION ET DES PROCESS;54395;NANCY;public;LP;;81.8;81.8;;
2017-2018;NANCY-METZ;54;MEURTHE-ET-MOSELLE;0541319R;LYCEE GENERAL PRIVE SAINT DOMINIQUE;54395;NANCY;privé sous contrat;LEGT;115.4;;115.4;;
2017-2018;NANCY-METZ;54;MEURTHE-ET-MOSELLE;0541986R;LYCEE GENERAL PRIVE LA MALGRANGE;54274;JARVILLE LA MALGRANGE;privé sous contrat;LEGT;137.7;;137.7;;
2017-2018;NANCY-METZ;55;MEUSE;0550003E;LYCEE PROFESSIONNEL EMILE ZOLA;55029;BAR LE DUC;public;LP;;77.6;77.6;;
2017-2018;NANCY-METZ;55;MEUSE;0550047C;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT LOUIS;55029;BAR LE DUC;privé sous contrat;LEGT;129.1;;129.1;;
2017-2018;RENNES;56;MORBIHAN;0560016N;LYCEE POLYVALENT BROCELIANDE LYCEE DES METIERS DU TRANSPORT DE LA LOGISTIQUE LYCEE DES METIERS DE LA MAINTENANCE DES VEHICULES INDUSTRIELS;56075;GUER;public;LPO;106.1;84.7;100.3;;
2017-2018;RENNES;56;MORBIHAN;0560019S;LYCEE PROFESSIONNEL AMPERE;56091;JOSSELIN;public;LP;;79.0;79.0;;
2017-2018;RENNES;56;MORBIHAN;0560101F;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT LOUIS;56121;LORIENT;privé sous contrat;LEGT;119.9;;119.9;;
2017-2018;RENNES;56;MORBIHAN;0560182U;LYCEE POLYVALENT JEANNE D ARC SAINT IVY LYCEE DES METIERS DE L HOTELLERIE ET DU TOURISME;56178;PONTIVY;privé sous contrat;LPO;110.0;87.6;101.3;;
2017-2018;RENNES;56;MORBIHAN;0561534N;LYCEE GENERAL ET TECHNOLOGIQUE BENJAMIN FRANKLIN;56007;AURAY;public;LEGT;117.8;;117.8;;
2017-2018;NANCY-METZ;57;MOSELLE;0570095U;LYCEE PROFESSIONNEL DOMINIQUE LABROISE;57630;SARREBOURG;public;LP;;86.3;86.3;;
2017-2018;NANCY-METZ;57;MOSELLE;0570099Y;LYCEE HENRI NOMINE LYCEE DES METIERS DES SERVICES AUX ENTREPRISES;57631;SARREGUEMINES;public;LPO;101.3;81.3;95.1;;
2017-2018;NANCY-METZ;57;MOSELLE;0570106F;LYCEE GENERAL CHARLEMAGNE;57672;THIONVILLE;public;LEGT;114.8;;114.8;;
2017-2018;NANCY-METZ;57;MOSELLE;0570311D;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE DE LA SALLE;57463;METZ;privé sous contrat;LEGT;126.0;;126.0;;
2017-2018;NANCY-METZ;57;MOSELLE;0572027U;LYCEE GENERAL ET TECHNOLOGIQUE JEAN BAPTISTE COLBERT;57672;THIONVILLE;public;LEGT;97.2;;97.2;;
2017-2018;NANCY-METZ;57;MOSELLE;0573080N;LYCEE PROFESSIONNEL HURLEVENT;57058;BEHREN LES FORBACH;public;LP;;74.2;74.2;;
2017-2018;NANCY-METZ;57;MOSELLE;0573281G;LYCEE GENERAL ET TECHNOLOGIQUE DE LA COMMUNICATION;57463;METZ;public;LEGT;108.5;;108.5;;
2017-2018;NANCY-METZ;57;MOSELLE;0573366Z;LYCEE TECHNOLOGIQUE PRIVE SAINT VINCENT DE PAUL;57012;ALGRANGE;privé sous contrat;LEGT;98.8;;98.8;;
2017-2018;NANCY-METZ;57;MOSELLE;0573683U;LYCEE TECHNOLOGIQUE PRIVE ANNE DE MEJANES;57463;METZ;privé sous contrat;LEGT;103.4;;103.4;;
2017-2018;DIJON;58;NIEVRE;0580071M;LYCEE POLYVALENT PRIVE NOTRE DAME;58194;NEVERS;privé sous contrat;LPO;110.0;84.4;95.8;;
2017-2018;LILLE;59;NORD;0590005K;LYCEE PROFESSIONNEL PIERRE JOSEPH FONTAINE LYCEE DES METIERS DE LA CONDUITE ET DE LA MAINTENANCE DES SYSTEMES;59014;ANZIN;public;LP;;68.1;68.1;;
2017-2018;LILLE;59;NORD;0590010R;LYCEE GENERAL ET TECHNOLOGIQUE PAUL HAZARD;59017;ARMENTIERES;public;LEGT;102.9;;102.9;;
2017-2018;LILLE;59;NORD;0590034S;LYCEE GENERAL ET TECHNOLOGIQUE PAUL DUEZ;59122;CAMBRAI;public;LEGT;99.8;;99.8;;
2017-2018;LILLE;59;NORD;0590093F;LYCEE POLYVALENT BEAUPRE LYCEE DES METIERS DE LA PLASTURGIE;59286;HAUBOURDIN;public;LPO;107.8;84.1;100.7;;
2017-2018;LILLE;59;NORD;0590098L;LYCEE PROFESSIONNEL PLACIDE COURTOY;59291;HAUTMONT;public;LP;;66.0;66.0;;
2017-2018;LILLE;59;NORD;0590102R;LYCEE PROFESSIONNEL DES MONTS DE FLANDRE LYCEE DES METIERS DE LA MAINTENANCE DES VEHICULES ET DES MATERIELS;59295;HAZEBROUCK;public;LP;;77.9;77.9;;
2017-2018;LILLE;59;NORD;0590122M;LYCEE POLYVALENT VALENTINE LABBE LYCEE DES METIERS DE LA BIOLOGIE DE LA BIOCHIMIE ET DES BIOTECHNOLOGIES DE LA SANTE ET DU SOCIAL;59368;LA MADELEINE;public;LPO;92.0;76.7;87.5;;
2017-2018;LILLE;59;NORD;0590149S;LYCEE POLYVALENT PIERRE FOREST;59392;MAUBEUGE;public;LPO;93.1;69.6;90.5;;
2017-2018;LILLE;59;NORD;0590168M;LYCEE POLYVALENT EUGENE THOMAS;59481;LE QUESNOY;public;LPO;115.6;84.1;109.0;;
2017-2018;LILLE;59;NORD;0590185F;LPO JEAN MOULIN LYCEE DES METIERS DU WEB LYCEE DES METIERS PREVENTION ET SECURITE LYCEE DES METIERS SERVICES ADMINISTRATIFS ET RELATION CLIENT;59512;ROUBAIX;public;LPO;68.3;67.4;67.9;;
2017-2018;LILLE;59;NORD;0590212K;LYCEE GENERAL;59599;TOURCOING;public;LEGT;101.1;;101.1;;
2017-2018;LILLE;59;NORD;0590221V;LYCEE GENERAL ET TECHNOLOGIQUE HENRI WALLON;59606;VALENCIENNES;public;LEGT;107.4;;107.4;;
2017-2018;LILLE;59;NORD;0590264S;LYCEE PROFESSIONNEL ALFRED KASTLER LYCEE DES METIERS DE LA CONDUITE ET DE LA MAINTENANCE DES SYSTEMES;59172;DENAIN;public;LP;;70.3;70.3;;
