id;date;code_insee_region;region;tmin;tmax;tmoy
2020-07-11T00:00:00-11;2020-07-11;11;Île-de-France;10.5;23.78;17.14
2020-07-11T00:00:00-93;2020-07-11;93;Provence-Alpes-Côte d'Azur;20.12;29.73;24.92
2020-07-12T00:00:00-28;2020-07-12;28;Normandie;9.0;22.74;15.87
2020-07-12T00:00:00-52;2020-07-12;52;Pays de la Loire;12.6;26.25;19.42
2020-07-12T00:00:00-84;2020-07-12;84;Auvergne-Rhône-Alpes;10.04;27.85;18.95
2020-07-13T00:00:00-93;2020-07-13;93;Provence-Alpes-Côte d'Azur;19.25;29.1;24.18
2020-07-14T00:00:00-84;2020-07-14;84;Auvergne-Rhône-Alpes;11.54;27.36;19.45
2020-07-14T00:00:00-52;2020-07-14;52;Pays de la Loire;12.35;24.55;18.45
2020-07-14T00:00:00-75;2020-07-14;75;Nouvelle-Aquitaine;14.58;25.83;20.21
2020-07-15T00:00:00-27;2020-07-15;27;Bourgogne-Franche-Comté;15.68;19.92;17.8
2020-07-15T00:00:00-84;2020-07-15;84;Auvergne-Rhône-Alpes;14.36;22.01;18.19
2020-07-16T00:00:00-75;2020-07-16;75;Nouvelle-Aquitaine;14.76;22.2;18.48
2020-07-16T00:00:00-11;2020-07-16;11;Île-de-France;15.44;21.1;18.27
2020-07-16T00:00:00-76;2020-07-16;76;Occitanie;15.35;23.88;19.61
2020-07-16T00:00:00-53;2020-07-16;53;Bretagne;12.75;22.28;17.51
2020-07-17T00:00:00-24;2020-07-17;24;Centre-Val de Loire;14.95;26.25;20.6
2020-07-18T00:00:00-28;2020-07-18;28;Normandie;12.3;25.14;18.72
2020-07-18T00:00:00-93;2020-07-18;93;Provence-Alpes-Côte d'Azur;18.15;28.85;23.5
2020-07-18T00:00:00-24;2020-07-18;24;Centre-Val de Loire;12.12;29.95;21.03
2020-07-19T00:00:00-75;2020-07-19;75;Nouvelle-Aquitaine;14.65;32.66;23.66
2020-07-19T00:00:00-93;2020-07-19;93;Provence-Alpes-Côte d'Azur;17.03;29.67;23.35
2020-07-19T00:00:00-53;2020-07-19;53;Bretagne;10.5;23.92;17.21
2020-07-20T00:00:00-32;2020-07-20;32;Hauts-de-France;13.54;22.94;18.24
2020-07-20T00:00:00-52;2020-07-20;52;Pays de la Loire;15.3;28.25;21.78
2020-07-20T00:00:00-93;2020-07-20;93;Provence-Alpes-Côte d'Azur;16.92;30.58;23.75
2020-07-20T00:00:00-28;2020-07-20;28;Normandie;14.3;23.22;18.76
2020-07-21T00:00:00-27;2020-07-21;27;Bourgogne-Franche-Comté;16.62;29.47;23.04
2020-07-21T00:00:00-84;2020-07-21;84;Auvergne-Rhône-Alpes;17.24;32.8;25.02
2020-07-22T00:00:00-24;2020-07-22;24;Centre-Val de Loire;14.08;28.63;21.36
2020-07-22T00:00:00-75;2020-07-22;75;Nouvelle-Aquitaine;18.96;31.08;25.02
2020-07-22T00:00:00-94;2020-07-22;94;Corse;19.3;30.9;25.1
2020-07-23T00:00:00-84;2020-07-23;84;Auvergne-Rhône-Alpes;14.73;30.22;22.47
2020-07-23T00:00:00-11;2020-07-23;11;Île-de-France;13.02;28.76;20.89
2020-07-23T00:00:00-75;2020-07-23;75;Nouvelle-Aquitaine;18.08;29.57;23.82
2020-07-23T00:00:00-32;2020-07-23;32;Hauts-de-France;10.02;24.54;17.28
2020-07-24T00:00:00-93;2020-07-24;93;Provence-Alpes-Côte d'Azur;19.85;32.1;25.98
2020-07-24T00:00:00-27;2020-07-24;27;Bourgogne-Franche-Comté;16.67;28.67;22.67
2020-07-24T00:00:00-75;2020-07-24;75;Nouvelle-Aquitaine;16.27;27.17;21.72
2020-07-24T00:00:00-24;2020-07-24;24;Centre-Val de Loire;15.18;27.67;21.42
2020-07-25T00:00:00-76;2020-07-25;76;Occitanie;16.83;30.49;23.66
2020-07-25T00:00:00-32;2020-07-25;32;Hauts-de-France;14.54;23.94;19.24
2020-07-25T00:00:00-75;2020-07-25;75;Nouvelle-Aquitaine;14.27;25.96;20.11
2020-07-25T00:00:00-27;2020-07-25;27;Bourgogne-Franche-Comté;13.88;28.97;21.42
2020-07-25T00:00:00-53;2020-07-25;53;Bretagne;16.38;21.15;18.76
2020-07-26T00:00:00-44;2020-07-26;44;Grand Est;17.65;26.61;22.13
2020-07-26T00:00:00-28;2020-07-26;28;Normandie;14.7;23.3;19.0
2020-07-27T00:00:00-44;2020-07-27;44;Grand Est;12.28;33.05;22.66
2020-07-27T00:00:00-84;2020-07-27;84;Auvergne-Rhône-Alpes;14.58;35.65;25.12
2020-07-28T00:00:00-93;2020-07-28;93;Provence-Alpes-Côte d'Azur;19.7;31.48;25.59
2020-07-28T00:00:00-28;2020-07-28;28;Normandie;13.62;22.1;17.86
2020-07-28T00:00:00-52;2020-07-28;52;Pays de la Loire;15.65;24.7;20.18
2020-07-28T00:00:00-53;2020-07-28;53;Bretagne;11.05;22.0;16.52
2020-07-28T00:00:00-27;2020-07-28;27;Bourgogne-Franche-Comté;19.37;28.35;23.86
2020-07-29T00:00:00-76;2020-07-29;76;Occitanie;20.15;32.35;26.25
2020-07-29T00:00:00-27;2020-07-29;27;Bourgogne-Franche-Comté;12.47;29.22;20.84
2020-07-29T00:00:00-93;2020-07-29;93;Provence-Alpes-Côte d'Azur;20.48;33.88;27.18
2020-07-29T00:00:00-53;2020-07-29;53;Bretagne;9.0;22.2;15.6
2020-07-29T00:00:00-94;2020-07-29;94;Corse;20.2;31.35;25.78
2020-07-30T00:00:00-53;2020-07-30;53;Bretagne;10.85;30.85;20.85
2020-07-30T00:00:00-32;2020-07-30;32;Hauts-de-France;10.84;29.48;20.16
2020-07-30T00:00:00-24;2020-07-30;24;Centre-Val de Loire;12.95;35.32;24.13
2020-07-31T00:00:00-84;2020-07-31;84;Auvergne-Rhône-Alpes;19.44;37.98;28.71
2020-07-31T00:00:00-32;2020-07-31;32;Hauts-de-France;16.18;38.52;27.35
2020-07-31T00:00:00-28;2020-07-31;28;Normandie;16.96;35.16;26.06
2020-07-31T00:00:00-44;2020-07-31;44;Grand Est;14.58;37.82;26.2
2020-08-01T00:00:00-75;2020-08-01;75;Nouvelle-Aquitaine;17.93;26.53;22.23
2020-08-01T00:00:00-94;2020-08-01;94;Corse;20.8;32.5;26.65
2020-08-01T00:00:00-84;2020-08-01;84;Auvergne-Rhône-Alpes;17.68;34.63;26.15
2020-08-01T00:00:00-24;2020-08-01;24;Centre-Val de Loire;17.98;28.45;23.22
2020-08-01T00:00:00-11;2020-08-01;11;Île-de-France;18.86;27.98;23.42
2020-08-02T00:00:00-84;2020-08-02;84;Auvergne-Rhône-Alpes;18.11;25.95;22.03
2020-08-02T00:00:00-28;2020-08-02;28;Normandie;12.34;22.34;17.34
2020-08-02T00:00:00-11;2020-08-02;11;Île-de-France;16.12;24.58;20.35
2020-08-03T00:00:00-93;2020-08-03;93;Provence-Alpes-Côte d'Azur;21.4;28.83;25.12
2020-08-03T00:00:00-94;2020-08-03;94;Corse;21.6;30.45;26.02
2020-08-03T00:00:00-32;2020-08-03;32;Hauts-de-France;11.98;22.26;17.12
2020-08-03T00:00:00-52;2020-08-03;52;Pays de la Loire;14.7;25.1;19.9
2020-08-03T00:00:00-53;2020-08-03;53;Bretagne;12.48;21.32;16.9
2020-08-03T00:00:00-28;2020-08-03;28;Normandie;12.36;21.44;16.9
2020-08-05T00:00:00-27;2020-08-05;27;Bourgogne-Franche-Comté;10.12;29.17;19.64
2020-08-06T00:00:00-28;2020-08-06;28;Normandie;12.74;32.7;22.72
2020-08-06T00:00:00-27;2020-08-06;27;Bourgogne-Franche-Comté;12.2;32.1;22.15
2020-08-06T00:00:00-76;2020-08-06;76;Occitanie;14.21;35.28;24.75
2020-08-06T00:00:00-84;2020-08-06;84;Auvergne-Rhône-Alpes;12.08;32.35;22.21
2020-08-07T00:00:00-84;2020-08-07;84;Auvergne-Rhône-Alpes;14.44;35.78;25.11
2020-08-08T00:00:00-52;2020-08-08;52;Pays de la Loire;20.65;35.2;27.92
2020-08-08T00:00:00-27;2020-08-08;27;Bourgogne-Franche-Comté;15.98;36.47;26.22
2020-08-11T00:00:00-76;2020-08-11;76;Occitanie;20.05;33.85;26.95
2020-08-11T00:00:00-75;2020-08-11;75;Nouvelle-Aquitaine;20.7;34.09;27.4
2020-08-11T00:00:00-44;2020-08-11;44;Grand Est;18.74;35.04;26.89
2020-08-11T00:00:00-11;2020-08-11;11;Île-de-France;21.28;36.2;28.74
2020-08-11T00:00:00-52;2020-08-11;52;Pays de la Loire;20.5;35.1;27.8
2020-08-12T00:00:00-93;2020-08-12;93;Provence-Alpes-Côte d'Azur;19.4;31.65;25.52
2020-08-13T00:00:00-53;2020-08-13;53;Bretagne;17.0;24.43;20.71
2020-08-14T00:00:00-27;2020-08-14;27;Bourgogne-Franche-Comté;19.05;26.27;22.66
2020-08-14T00:00:00-76;2020-08-14;76;Occitanie;17.98;29.96;23.97
2020-08-15T00:00:00-76;2020-08-15;76;Occitanie;16.6;33.03;24.81
2020-08-15T00:00:00-94;2020-08-15;94;Corse;20.05;30.4;25.22
2020-08-20T00:00:00-94;2020-08-20;94;Corse;19.15;30.8;24.98
2020-08-21T00:00:00-44;2020-08-21;44;Grand Est;20.51;30.69;25.6
2020-08-21T00:00:00-53;2020-08-21;53;Bretagne;17.65;22.78;20.21
2020-08-22T00:00:00-93;2020-08-22;93;Provence-Alpes-Côte d'Azur;19.27;33.13;26.2
2019-12-06T00:00:00-84;2019-12-06;84;Auvergne-Rhône-Alpes;-2.61;10.17;3.78
2019-12-07T00:00:00-94;2019-12-07;94;Corse;9.25;17.9;13.58
2019-12-07T00:00:00-11;2019-12-07;11;Île-de-France;7.66;11.24;9.45
2019-12-07T00:00:00-28;2019-12-07;28;Normandie;7.22;11.3;9.26
2019-12-07T00:00:00-93;2019-12-07;93;Provence-Alpes-Côte d'Azur;2.85;14.4;8.62
2019-12-09T00:00:00-94;2019-12-09;94;Corse;8.6;17.1;12.85
2019-12-09T00:00:00-93;2019-12-09;93;Provence-Alpes-Côte d'Azur;4.55;13.38;8.97
2019-12-12T00:00:00-93;2019-12-12;93;Provence-Alpes-Côte d'Azur;2.33;10.05;6.19
2019-12-13T00:00:00-75;2019-12-13;75;Nouvelle-Aquitaine;9.65;13.58;11.61
2019-12-13T00:00:00-11;2019-12-13;11;Île-de-France;5.2;11.46;8.33
2019-12-13T00:00:00-84;2019-12-13;84;Auvergne-Rhône-Alpes;3.43;10.55;6.99
2019-12-14T00:00:00-11;2019-12-14;11;Île-de-France;6.32;10.92;8.62
2019-12-15T00:00:00-53;2019-12-15;53;Bretagne;6.38;11.0;8.69
2019-12-23T00:00:00-32;2019-12-23;32;Hauts-de-France;6.86;10.58;8.72
2019-12-24T00:00:00-44;2019-12-24;44;Grand Est;5.22;11.75;8.49
2019-12-24T00:00:00-53;2019-12-24;53;Bretagne;9.02;12.77;10.9
2019-12-24T00:00:00-11;2019-12-24;11;Île-de-France;7.32;12.82;10.07
2019-12-24T00:00:00-84;2019-12-24;84;Auvergne-Rhône-Alpes;3.53;11.49;7.51
2019-12-24T00:00:00-75;2019-12-24;75;Nouvelle-Aquitaine;9.9;16.63;13.26
