STATUT,INSEE_COM,NOM_COM,INSEE_ARR,NOM_DEP,INSEE_DEP,NOM_REG,INSEE_REG,CODE_EPCI,NOM_COM_M,Prixm2
Commune simple,"32313",Pessoulens,"2",GERS,"32",OCCITANIE,"76","200034726",PESSOULENS,"1291"
Commune simple,"32066",Brugnens,"2",GERS,"32",OCCITANIE,"76","243200391",BRUGNENS,"1276"
Commune simple,"32082",Castéra-Lectourois,"2",GERS,"32",OCCITANIE,"76","243200391",CASTERA-LECTOUROIS,"1315"
Commune simple,"32405",Sainte-Radegonde,"2",GERS,"32",OCCITANIE,"76","243200391",SAINTE-RADEGONDE,"1152"
Commune simple,"32452",Tournecoupe,"2",GERS,"32",OCCITANIE,"76","200034726",TOURNECOUPE,"1249"
Commune simple,"32358",Saint-Antoine,"2",GERS,"32",OCCITANIE,"76","248200016",SAINT-ANTOINE,"1233"
Commune simple,"82166",Saint-Michel,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",SAINT-MICHEL,"811"
Commune simple,"32417",La Sauvetat,"2",GERS,"32",OCCITANIE,"76","243200391",LA SAUVETAT,"1246"
Commune simple,"82165",Saint-Loup,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",SAINT-LOUP,"834"
Commune simple,"32195",Larroque-Engalin,"2",GERS,"32",OCCITANIE,"76","243200391",LARROQUE-ENGALIN,
Commune simple,"32176",Lagarde,"2",GERS,"32",OCCITANIE,"76","243200391",LAGARDE,"1342"
Commune simple,"32314",Peyrecave,"2",GERS,"32",OCCITANIE,"76","243200391",PEYRECAVE,
Commune simple,"32021",Avensac,"2",GERS,"32",OCCITANIE,"76","200034726",AVENSAC,"1126"
Commune simple,"32084",Castéron,"2",GERS,"32",OCCITANIE,"76","200034726",CASTERON,
Commune simple,"32158",L'Isle-Bouzon,"2",GERS,"32",OCCITANIE,"76","200034726",L'ISLE-BOUZON,"1207"
Commune simple,"47293",Sauveterre-Saint-Denis,"1",LOT-ET-GARONNE,"47",NOUVELLE-AQUITAINE,"75","200035459",SAUVETERRE-SAINT-DENIS,"1002"
Commune simple,"82181",Sistels,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",SISTELS,"1576"
Commune simple,"82054",Espalais,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",ESPALAIS,"1136"
Commune simple,"82008",Auvillar,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",AUVILLAR,"918"
Commune simple,"32311",Pergain-Taillac,"2",GERS,"32",OCCITANIE,"76","243200391",PERGAIN-TAILLAC,"1337"
Commune simple,"47158",Marmont-Pachas,"1",LOT-ET-GARONNE,"47",NOUVELLE-AQUITAINE,"75","200035459",MARMONT-PACHAS,"713"
Commune simple,"32345",La Romieu,"2",GERS,"32",OCCITANIE,"76","243200391",LA ROMIEU,"1631"
Commune simple,"47133",Lamontjoie,"4",LOT-ET-GARONNE,"47",NOUVELLE-AQUITAINE,"75","200068948",LAMONTJOIE,"1272"
Commune simple,"32396",Saint-Mézard,"2",GERS,"32",OCCITANIE,"76","243200391",SAINT-MEZARD,"1913"
Commune simple,"32370",Saint-Clar,"2",GERS,"32",OCCITANIE,"76","200034726",SAINT-CLAR,"1183"
Commune simple,"82186",Valence,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",VALENCE,"1164"
Commune simple,"82030",Castelferrus,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","200066322",CASTELFERRUS,"937"
Commune simple,"32143",Gazaupouy,"2",GERS,"32",OCCITANIE,"76","243200417",GAZAUPOUY,"839"
Commune simple,"82074",Gramont,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200065",GRAMONT,"1718"
Commune simple,"32239",Marsolan,"2",GERS,"32",OCCITANIE,"76","243200391",MARSOLAN,"2402"
Commune simple,"32208",Lectoure,"2",GERS,"32",OCCITANIE,"76","243200391",LECTOURE,"1561"
Commune simple,"32328",Pouy-Roquelaure,"2",GERS,"32",OCCITANIE,"76","243200391",POUY-ROQUELAURE,"1356"
Commune simple,"47137",Laplume,"1",LOT-ET-GARONNE,"47",NOUVELLE-AQUITAINE,"75","200035459",LAPLUME,"1149"
Commune simple,"47172",Moncaut,"4",LOT-ET-GARONNE,"47",NOUVELLE-AQUITAINE,"75","200068948",MONCAUT,"1362"
Commune simple,"32129",Estramiac,"2",GERS,"32",OCCITANIE,"76","200034726",ESTRAMIAC,"1035"
Commune simple,"32385",Saint-Léonard,"2",GERS,"32",OCCITANIE,"76","200034726",SAINT-LEONARD,"1625"
Commune simple,"47282",Saint-Vincent-de-Lamontjoie,"4",LOT-ET-GARONNE,"47",NOUVELLE-AQUITAINE,"75","200068948",SAINT-VINCENT-DE-LAMONTJOIE,"701"
Commune simple,"47067",Clermont-Soubiran,"1",LOT-ET-GARONNE,"47",NOUVELLE-AQUITAINE,"75","248200016",CLERMONT-SOUBIRAN,"1288"
Commune simple,"82073",Goudourville,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",GOUDOURVILLE,"987"
Commune simple,"32139",Gaudonville,"2",GERS,"32",OCCITANIE,"76","200034726",GAUDONVILLE,"1333"
Commune simple,"32253",Miradoux,"2",GERS,"32",OCCITANIE,"76","243200391",MIRADOUX,"1059"
Commune simple,"82034",Castéra-Bouzet,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200065",CASTERA-BOUZET,"1173"
Commune simple,"47060",Caudecoste,"1",LOT-ET-GARONNE,"47",NOUVELLE-AQUITAINE,"75","200035459",CAUDECOSTE,"1413"
Commune simple,"32429",Sempesserre,"2",GERS,"32",OCCITANIE,"76","243200391",SEMPESSERRE,"1654"
Commune simple,"82141",Pommevic,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",POMMEVIC,"1014"
Commune simple,"47015",Astaffort,"1",LOT-ET-GARONNE,"47",NOUVELLE-AQUITAINE,"75","200035459",ASTAFFORT,"1190"
Commune simple,"32085",Castet-Arrouy,"2",GERS,"32",OCCITANIE,"76","243200391",CASTET-ARROUY,
Commune simple,"30338",Vallérargues,"2",GARD,"30",OCCITANIE,"76","200034379",VALLERARGUES,
Commune simple,"82102",Mansonville,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",MANSONVILLE,
Commune simple,"32146",Gimbrède,"2",GERS,"32",OCCITANIE,"76","243200391",GIMBREDE,"1612"
Commune simple,"32078",Castelnau-d'Arbieu,"2",GERS,"32",OCCITANIE,"76","243200391",CASTELNAU-D'ARBIEU,"1309"
Commune simple,"32371",Saint-Créac,"2",GERS,"32",OCCITANIE,"76","200034726",SAINT-CREAC,"917"
Commune simple,"32055",Bivès,"2",GERS,"32",OCCITANIE,"76","200034726",BIVES,"547"
Commune simple,"32391",Saint-Martin-de-Goyne,"2",GERS,"32",OCCITANIE,"76","243200391",SAINT-MARTIN-DE-GOYNE,"1033"
Commune simple,"14248",Espins,"2",CALVADOS,"14",NORMANDIE,"28","200066710",ESPINS,"772"
Commune simple,"82083",Lachapelle,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200065",LACHAPELLE,"1768"
Commune simple,"82163",Saint-Jean-du-Bouzet,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200065",SAINT-JEAN-DU-BOUZET,
Commune simple,"47076",Cuq,"1",LOT-ET-GARONNE,"47",NOUVELLE-AQUITAINE,"75","200035459",CUQ,"571"
Commune simple,"82050",Dunes,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",DUNES,"1270"
Commune simple,"47145",Layrac,"1",LOT-ET-GARONNE,"47",NOUVELLE-AQUITAINE,"75","200035459",LAYRAC,"1233"
Commune simple,"47092",Fals,"1",LOT-ET-GARONNE,"47",NOUVELLE-AQUITAINE,"75","200035459",FALS,"1681"
Commune simple,"47274",Saint-Romain-le-Noble,"1",LOT-ET-GARONNE,"47",NOUVELLE-AQUITAINE,"75","200036572",SAINT-ROMAIN-LE-NOBLE,"801"
Commune simple,"32212",Ligardes,"2",GERS,"32",OCCITANIE,"76","243200417",LIGARDES,
Commune simple,"82015",Belbèze-en-Lomagne,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200065",BELBEZE-EN-LOMAGNE,"1035"
Commune simple,"82067",Gensac,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200065",GENSAC,
Commune simple,"47169",Moirax,"1",LOT-ET-GARONNE,"47",NOUVELLE-AQUITAINE,"75","200035459",MOIRAX,"1120"
